	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM	MS1_TIC_median	MS1_TIC_CV	MS2_precursor_events	MS1_frames	MS2_frames	Gradient_min	Total.Protein.Number.Ref	MS1_TIC_CV_pct	Protein.Identification.Rate
count	199.0	199.0	199.0	199.0	199.0	199.0	199.0	199.0	199.0	199.0	199.0	199.0	199.0	199.0	199.0	199.0	199.0	199.0	199.0
mean	1385.3969849246232	8299.402010050251	1.4446976926745456	0.07026263957079323	71.38563039909178	24.835682397275235	88.13384323882929	10023.170854271357	5.8630004	0.01970854371356784	2474108.6557788947	1.066614744539011	38307.5175879397	1000.1407035175879	5363.984924623115	11.49760133366834	3758.643216080402	106.66147445390112	39.48309688599106
std	295.7218154145472	1910.2915661947334	0.10564924672013187	0.07527427253696398	4.025296552132056	3.5515056835847916	1.680977135501361	2387.781581249067	0.0	0.0007074476722874436	1640307.5862264312	0.03018711544039392	2251.4199668461106	30.70419807291086	36.59517512312615	0.0005639952753997278	1314.7130686466958	3.0187115440393906	9.500685264946645
min	675.0	2814.0	1.0452052580618312	0.0	62.23121141153928	0.0	83.95491803278688	2815.0	5.8630004	0.018000001	563971.0	0.9786570090016586	28819.0	905.0	5295.0	11.496521383333334	1554.0	97.86570090016586	21.878796058847342
25%	1151.5	7066.5	1.3953782828722172	0.0	68.76866109276585	23.089590236172633	87.12955184488916	8360.0	5.8630004	0.020000001	1023768.0	1.0485811888801653	37476.0	977.5	5333.0	11.4970763	2514.5	104.85811888801652	32.789545262060656
50%	1407.0	8603.0	1.452346958512086	0.0670361790236019	70.86456485666876	25.25415523640472	88.18218646912437	10404.0	5.8630004	0.020000001	2157281.5	1.067905742803127	38528.0	999.0	5364.0	11.497628433333334	3812.0	106.79057428031268	38.06015960712094
75%	1620.5	9705.0	1.5088737883658108	0.09580973586184066	73.301018629209	27.31616126194126	89.2389299320057	11870.5	5.8630004	0.020000001	3424428.0	1.0845293996242584	39624.0	1025.0	5391.0	11.498077533333333	4773.0	108.45293996242584	44.31967687812222
max	2091.0	12019.0	1.6566090556325213	0.3950352756625285	96.44012944983818	32.793981974309844	97.680690399137	14368.0	5.8630004	0.020000001	9160185.0	1.1782868144473455	42773.0	1067.0	5485.0	11.498693666666666	7409.0	117.82868144473456	67.21639180409795
