sample_id	MS1_TIC_median	MS1_TIC_CV	MS2_precursor_events	MS1_frames	MS2_frames	Gradient_min
216_Moraxella_catarrhalis_DSM11994_DDA100_4362	2961043.0	1.0653713829500746	39329	999	5369	11.497333983333334
218_Morganella_morganii_ssp_morganii_DSM30164_DDA100_4360	3304007.5	1.0506325859832604	37820	982	5385	11.496877733333333
220_Morganella_morganii_ssp_morganii_DSM30117_DDA100_4358	995182.5	1.091473389063247	39020	1028	5333	11.497937916666666
222_Morganella_morganii_ssp_sibonii_DSM14850_DDA100_4376	2706588.0	1.0670337574112945	39433	1003	5358	11.497041683333332
224_Morganella_morganii_ssp_sibonii_DSM6675_DDA100_4354	3506377.0	1.0587560340144806	37537	987	5388	11.497996583333332
225_Neisseria_gonorrhoeae_DSM9188_DDA100_4370	3791923.5	1.0586691661389753	37817	980	5387	11.496988916666668
226_Neisseria_gonorrhoeae_DSM9189_DDA100_4368	2054100.0	1.0818691932512208	37366	1001	5368	11.498400299999998
227_Neisseria_meningitidis_DSM10036_DDA100_4364	2073462.0	1.0774982914051137	37596	1004	5365	11.496871383333334
228_Pantoea_agglomerans_DSM3493_DDA100_4374	3616258.0	1.069913361564992	39806	1007	5354	11.498272166666668
229_Pantoea_agglomerans_DSM1619_DDA100_4386	1882763.5	1.0689128567970287	40583	1020	5336	11.4980569
230_Paracoccus_yeei_DSM30768_DDA100_4432	3892159.0	1.051234361356171	40833	985	5383	11.49860475
232_Proteus_mirabilis_DSM4479_DDA100_4408	788462.0	1.0755646644772145	39731	1027	5328	11.497632633333334
233_Proteus_mirabilis_DSM788_DDA100_4418	660773.5	1.0923948725898405	40099	1044	5306	11.498327183333334
246_Proteus_vulgaris_DSM13387_DDA100_4392	2216681.0	1.0590797266074454	38887	1001	5362	11.498247633333333
247_Proteus_vulgaris_DSM2140_DDA100_4390	1175609.0	1.0798617188034483	38630	1015	5341	11.496952649999999
249_Streptococcus_agalactiae_DSM6784_DDA100_4298	5457064.0	1.034823506175766	38167	967	5401	11.498484083333333
250_Providencia_rettgeri_DSM4542_DDA100_4334	1026860.0	1.0937430990509098	37743	1025	5326	11.49666155
251_Streptococcus_dysgalactiae_ssp_dysgalactiae_DSM20662_DDA100_4284	3594961.5	1.0630556702513974	36478	992	5371	11.49777845
252_Providencia_rettgeri_DSM1131_DDA100_4412	790706.0	1.0835736042267616	40026	1031	5324	11.496754933333333
253_Streptococcus_dysgalactiae_ssp_equisimilis_DSM6176_DDA100_4280	5024744.0	1.0459347712072147	37984	978	5391	11.49779145
254_Providencia_stuartii_DSM4539_DDA100_4314	3106813.0	1.0514735051828599	38651	991	5374	11.497809316666666
255_Streptococcus_dysgalactiae_ssp_equisimilis_DSM23147_DDA100_4288	3599326.5	1.0450198740842038	39257	998	5364	11.497048166666668
256_Providencia_stuartii_DSM2250_DDA100_4414	3554604.0	1.042592674377845	38111	971	5398	11.497217933333333
261_Streptococcus_pneumoniae_DSM11865_DDA100_4294	667107.5	1.1374464503523318	28950	1048	5299	11.498447266666666
263_Streptococcus_pyogenes_DSM2071_DDA100_4300	4605318.0	1.0315803980165787	36682	970	5398	11.498276683333334
264_Pseudomonas_stutzeri_DSM5190_DDA100_4320	2405111.0	1.066076537060801	37483	999	5360	11.497647050000001
265_Streptococcus_pyogenes_DSM2072_DDA100_4296	5763922.0	0.9864305405187269	35741	905	5485	11.498257800000001
266_Pseudomonas_stutzeri_DSM13592_DDA100_4452	1420514.5	1.0717650742405025	40301	1016	5344	11.49763665
267_Streptococcus_sanguinis_DSM20068_DDA100_4304	1780687.0	1.067169045706951	33963	1001	5357	11.496521383333334
269_Streptococcus_sanguinis_DSM20567_DDA100_4302	3433208.0	1.054619114674427	38331	990	5375	11.498251683333333
270_Shigella_boydii_DSM7532_DDA100_4324	1363405.0	1.0746397606418243	38435	1019	5338	11.498013316666666
271_Vibrio_cholerae_DSM100200_DDA100_4306	1359693.0	1.0906203744193155	38679	1013	5347	11.497429033333333
272_Shigella_dysenteriae_DSM103303_DDA100_4428	887956.0	1.0932424023168452	38521	1031	5325	11.497875433333332
273_Vibrio_cholerae_DSM101014_DDA100_4388	4724837.5	1.0431773356660214	41206	998	5366	11.497242983333333
274_Shigella_flexneri_DSM4782_DDA100_4340	1289897.0	1.0808346529426998	37655	1015	5343	11.498486533333333
275_Yersinia_pseudotuberculosis_DSM22972_DDA100_4422	1085040.0	1.073696460425597	39708	1025	5331	11.49790475
278_Shigella_sonnei_DSM25715_DDA100_4434	812634.0	1.0692543973910338	41528	1033	5319	11.496772016666666
280_Sphingomonas_paucimobilis_DSM30198_DDA100_4430	5416711.0	1.0362505658825034	41911	981	5385	11.497219366666666
281_Staphylococcus_capitis_ssp_capitis_DSM20326_DDA100_4326	3549167.5	1.0380400554076543	35881	948	5427	11.4970858
282_Staphylococcus_capitis_ssp_urealyticus_DSM6717_DDA100_4406	2679171.0	1.0303850070369007	32528	968	5404	11.497966516666667
283_Staphylococcus_pasteuri_DSM10656_DDA100_4410	3395047.0	1.0566872659359814	37052	977	5390	11.497632183333334
